episode,reward,timestamp,agent,phase,mode,seed,latency_ms,energy_efficiency,task_scheduling_score,scalability_score,resource_allocation_score
1,0.48407,2025-09-25 14:12:17,costar,mid,train,4,962.93,0.419,0.575,0.534,0.494
2,0.24320000000000003,2025-09-25 14:12:18,costar,mid,train,4,1076.8,0.339,0.512,0.534,0.447
3,0.47680999999999985,2025-09-25 14:12:19,costar,mid,train,4,955.19,0.409,0.567,0.534,0.489
4,0.48956999999999995,2025-09-25 14:12:20,costar,mid,train,4,949.43,0.414,0.571,0.534,0.491
5,0.40152000000000004,2025-09-25 14:12:21,costar,mid,train,4,969.48,0.372,0.54,0.532,0.467
6,0.41579,2025-09-25 14:12:22,costar,mid,train,4,964.21,0.378,0.544,0.532,0.47
7,0.45600000000000007,2025-09-25 14:12:23,costar,mid,train,4,959.0,0.4,0.561,0.532,0.483
8,0.39627000000000007,2025-09-25 14:12:24,costar,mid,train,4,957.73,0.36,0.529,0.534,0.46
9,0.46192,2025-09-25 14:12:25,costar,mid,train,4,951.08,0.397,0.557,0.535,0.481
10,0.43174,2025-09-25 14:12:26,costar,mid,train,4,966.26,0.388,0.551,0.534,0.476
11,0.4995299999999999,2025-09-25 14:12:27,costar,mid,train,4,949.47,0.42,0.576,0.534,0.495
12,0.45677999999999996,2025-09-25 14:12:28,costar,mid,train,4,960.22,0.4,0.56,0.534,0.483
13,0.48434,2025-09-25 14:12:28,costar,mid,train,4,951.66,0.412,0.57,0.534,0.49
14,0.4959800000000001,2025-09-25 14:12:29,costar,mid,train,4,946.02,0.416,0.572,0.534,0.492
15,0.48806000000000005,2025-09-25 14:12:30,costar,mid,train,4,954.94,0.416,0.573,0.534,0.493
16,0.38817999999999997,2025-09-25 14:12:31,costar,mid,train,4,991.82,0.378,0.545,0.532,0.47
17,0.4660000000000001,2025-09-25 14:12:32,costar,mid,train,4,954.0,0.403,0.564,0.532,0.485
18,0.45364000000000004,2025-09-25 14:12:33,costar,mid,train,4,955.36,0.395,0.556,0.534,0.48
19,0.27431,2025-09-25 14:12:34,costar,mid,train,4,1046.69,0.34,0.513,0.534,0.447
20,0.45299,2025-09-25 14:12:35,costar,mid,train,4,966.01,0.401,0.561,0.534,0.484
21,0.47259000000000007,2025-09-25 14:12:36,costar,mid,train,4,954.41,0.407,0.566,0.533,0.487
22,0.3667500000000001,2025-09-25 14:12:37,costar,mid,train,4,988.25,0.362,0.531,0.533,0.46
23,0.41931,2025-09-25 14:12:38,costar,mid,train,4,956.69,0.375,0.541,0.533,0.468
24,0.4629599999999999,2025-09-25 14:12:39,costar,mid,train,4,967.04,0.409,0.568,0.533,0.488
25,0.32212999999999997,2025-09-25 14:12:40,costar,mid,train,4,1019.87,0.354,0.526,0.532,0.456
26,0.3897500000000001,2025-09-25 14:12:41,costar,mid,train,4,973.25,0.368,0.537,0.531,0.464
27,0.31561999999999996,2025-09-25 14:12:42,costar,mid,train,4,1004.38,0.341,0.516,0.531,0.448
28,0.47531999999999996,2025-09-25 14:12:43,costar,mid,train,4,954.68,0.41,0.57,0.531,0.489
29,0.40746000000000004,2025-09-25 14:12:44,costar,mid,train,4,977.54,0.38,0.545,0.533,0.472
30,0.4822700000000001,2025-09-25 14:12:45,costar,mid,train,4,949.73,0.409,0.568,0.534,0.489
31,0.45716,2025-09-25 14:12:46,costar,mid,train,4,951.84,0.395,0.556,0.534,0.48
32,0.32998000000000005,2025-09-25 14:12:47,costar,mid,train,4,1074.02,0.391,0.552,0.535,0.478
33,0.48197999999999996,2025-09-25 14:12:48,costar,mid,train,4,954.02,0.411,0.568,0.535,0.49
34,0.46638,2025-09-25 14:12:49,costar,mid,train,4,950.62,0.399,0.559,0.535,0.483
35,0.48112,2025-09-25 14:12:50,costar,mid,train,4,951.88,0.409,0.567,0.535,0.489
36,0.39330000000000004,2025-09-25 14:12:51,costar,mid,train,4,971.7,0.368,0.536,0.533,0.464
37,0.47611000000000003,2025-09-25 14:12:52,costar,mid,train,4,960.89,0.413,0.571,0.533,0.491
38,0.34539000000000014,2025-09-25 14:12:53,costar,mid,train,4,978.61,0.342,0.515,0.533,0.449
