episode,reward,timestamp,agent,phase,mode,seed,latency_ms,energy_efficiency,task_scheduling_score,scalability_score,resource_allocation_score
1,0.4844199999999999,2025-09-25 16:50:37,dreamerv3,mid,train,0,946.58,0.485,0.782,0.492,0.454
2,0.3796399999999999,2025-09-25 16:50:38,dreamerv3,mid,train,0,964.36,0.429,0.726,0.489,0.426
3,0.49376000000000003,2025-09-25 16:50:39,dreamerv3,mid,train,0,931.24,0.483,0.783,0.489,0.453
4,0.5020800000000001,2025-09-25 16:50:40,dreamerv3,mid,train,0,930.92,0.488,0.788,0.489,0.456
5,0.4498500000000001,2025-09-25 16:50:41,dreamerv3,mid,train,0,935.15,0.454,0.75,0.492,0.439
6,0.48479999999999995,2025-09-25 16:50:42,dreamerv3,mid,train,0,939.2,0.48,0.777,0.492,0.452
7,0.51885,2025-09-25 16:50:43,dreamerv3,mid,train,0,930.15,0.497,0.795,0.492,0.46
8,0.49531,2025-09-25 16:50:44,dreamerv3,mid,train,0,931.69,0.483,0.781,0.491,0.453
9,0.51739,2025-09-25 16:50:45,dreamerv3,mid,train,0,927.61,0.495,0.793,0.491,0.459
10,0.50213,2025-09-25 16:50:46,dreamerv3,mid,train,0,927.87,0.485,0.782,0.491,0.454
11,0.5082200000000001,2025-09-25 16:50:47,dreamerv3,mid,train,0,927.78,0.489,0.787,0.491,0.456
12,0.5001799999999998,2025-09-25 16:50:48,dreamerv3,mid,train,0,923.82,0.48,0.777,0.492,0.452
13,0.42286000000000007,2025-09-25 16:50:49,dreamerv3,mid,train,0,959.14,0.454,0.751,0.49,0.438
14,0.52278,2025-09-25 16:50:50,dreamerv3,mid,train,0,921.22,0.495,0.795,0.49,0.459
15,0.46279,2025-09-25 16:50:50,dreamerv3,mid,train,0,946.21,0.47,0.767,0.492,0.447
16,0.49043,2025-09-25 16:50:51,dreamerv3,mid,train,0,928.57,0.478,0.775,0.491,0.45
17,0.4964199999999999,2025-09-25 16:50:52,dreamerv3,mid,train,0,930.58,0.483,0.781,0.491,0.453
18,0.50254,2025-09-25 16:50:53,dreamerv3,mid,train,0,938.46,0.492,0.79,0.491,0.458
19,0.50899,2025-09-25 16:50:54,dreamerv3,mid,train,0,928.01,0.49,0.788,0.491,0.456
20,0.49611,2025-09-25 16:50:55,dreamerv3,mid,train,0,927.89,0.48,0.777,0.492,0.452
21,0.51468,2025-09-25 16:50:56,dreamerv3,mid,train,0,921.32,0.488,0.786,0.492,0.456
22,0.48485000000000006,2025-09-25 16:50:57,dreamerv3,mid,train,0,942.15,0.482,0.78,0.492,0.453
