episode,reward,timestamp,agent,phase,mode,seed,latency_ms,energy_efficiency,task_scheduling_score,scalability_score,resource_allocation_score
1,0.6159600000000001,2025-09-26 00:40:40,dreamerv3,mid,train,3,926.04,0.478,0.72,0.378,0.686
2,0.36604000000000003,2025-09-26 00:40:41,dreamerv3,mid,train,3,1063.96,0.415,0.662,0.377,0.638
3,0.61668,2025-09-26 00:40:42,dreamerv3,mid,train,3,925.32,0.479,0.723,0.377,0.686
4,0.5416700000000001,2025-09-26 00:40:43,dreamerv3,mid,train,3,941.33,0.445,0.689,0.378,0.66
5,0.60775,2025-09-26 00:40:44,dreamerv3,mid,train,3,925.25,0.473,0.716,0.378,0.682
6,0.52694,2025-09-26 00:40:45,dreamerv3,mid,train,3,933.06,0.432,0.676,0.378,0.65
7,0.5534700000000001,2025-09-26 00:40:46,dreamerv3,mid,train,3,940.53,0.451,0.694,0.378,0.665
8,0.58124,2025-09-26 00:40:47,dreamerv3,mid,train,3,929.76,0.461,0.704,0.378,0.672
9,0.6174799999999999,2025-09-26 00:40:48,dreamerv3,mid,train,3,931.52,0.482,0.724,0.378,0.689
10,0.5977000000000001,2025-09-26 00:40:49,dreamerv3,mid,train,3,931.3,0.471,0.714,0.378,0.68
11,0.602,2025-09-26 00:40:49,dreamerv3,mid,train,3,934.0,0.475,0.717,0.378,0.683
12,0.4920499999999999,2025-09-26 00:40:50,dreamerv3,mid,train,3,948.95,0.421,0.667,0.378,0.642
13,0.5499500000000002,2025-09-26 00:40:51,dreamerv3,mid,train,3,932.05,0.444,0.689,0.378,0.66
14,0.6159800000000001,2025-09-26 00:40:52,dreamerv3,mid,train,3,923.02,0.477,0.721,0.377,0.685
15,0.5331200000000001,2025-09-26 00:40:53,dreamerv3,mid,train,3,942.88,0.441,0.684,0.378,0.657
16,0.5952200000000001,2025-09-26 00:40:54,dreamerv3,mid,train,3,928.78,0.468,0.71,0.378,0.678
17,0.60226,2025-09-26 00:40:55,dreamerv3,mid,train,3,921.74,0.468,0.71,0.378,0.678
18,0.60891,2025-09-26 00:40:56,dreamerv3,mid,train,3,930.09,0.476,0.718,0.379,0.684
19,0.61729,2025-09-26 00:40:57,dreamerv3,mid,train,3,921.71,0.476,0.718,0.379,0.684
20,0.61303,2025-09-26 00:40:58,dreamerv3,mid,train,3,924.97,0.476,0.718,0.378,0.684
