episode,reward,timestamp,agent,phase,mode,seed,latency_ms,energy_efficiency,task_scheduling_score,scalability_score,resource_allocation_score
1,0.6356299999999999,2025-09-29 17:04:40,dreamerv3,final,train,3,929.37,0.485,0.712,0.389,0.691
2,0.5941100000000001,2025-09-29 17:04:40,dreamerv3,final,train,3,933.89,0.465,0.693,0.388,0.675
3,0.5521,2025-09-29 17:04:41,dreamerv3,final,train,3,967.9,0.46,0.69,0.388,0.672
4,0.6401399999999999,2025-09-29 17:04:42,dreamerv3,final,train,3,925.86,0.487,0.716,0.387,0.692
5,0.6384799999999999,2025-09-29 17:04:43,dreamerv3,final,train,3,926.52,0.486,0.715,0.387,0.692
6,0.5881700000000001,2025-09-29 17:04:44,dreamerv3,final,train,3,933.83,0.461,0.689,0.389,0.672
7,0.6114600000000001,2025-09-29 17:04:45,dreamerv3,final,train,3,928.54,0.471,0.699,0.389,0.68
8,0.6666699999999999,2025-09-29 17:04:46,dreamerv3,final,train,3,923.33,0.499,0.726,0.389,0.702
9,0.6157999999999999,2025-09-29 17:04:47,dreamerv3,final,train,3,948.2,0.485,0.713,0.388,0.691
10,0.64545,2025-09-29 17:04:48,dreamerv3,final,train,3,928.55,0.491,0.718,0.388,0.695
11,0.6476999999999999,2025-09-29 17:04:49,dreamerv3,final,train,3,923.3,0.488,0.715,0.389,0.694
12,0.60535,2025-09-29 17:04:50,dreamerv3,final,train,3,929.65,0.468,0.696,0.389,0.678
13,0.6163,2025-09-29 17:04:51,dreamerv3,final,train,3,934.7,0.477,0.704,0.389,0.685
14,0.5521900000000001,2025-09-29 17:04:52,dreamerv3,final,train,3,950.81,0.45,0.68,0.388,0.665
15,0.62467,2025-09-29 17:04:53,dreamerv3,final,train,3,924.33,0.477,0.706,0.387,0.685
16,0.6214400000000001,2025-09-29 17:04:54,dreamerv3,final,train,3,928.56,0.477,0.706,0.388,0.685
17,0.6031099999999999,2025-09-29 17:04:54,dreamerv3,final,train,3,957.89,0.483,0.71,0.389,0.689
18,0.63919,2025-09-29 17:04:55,dreamerv3,final,train,3,930.81,0.488,0.715,0.389,0.693
19,0.6384199999999999,2025-09-29 17:04:56,dreamerv3,final,train,3,926.58,0.485,0.712,0.389,0.691
20,0.60005,2025-09-29 17:04:57,dreamerv3,final,train,3,926.95,0.464,0.693,0.388,0.675
21,0.6540499999999999,2025-09-29 17:04:58,dreamerv3,final,train,3,927.95,0.495,0.722,0.388,0.699
22,0.64019,2025-09-29 17:04:59,dreamerv3,final,train,3,933.81,0.49,0.717,0.389,0.695
23,0.61937,2025-09-29 17:05:00,dreamerv3,final,train,3,938.63,0.482,0.71,0.388,0.688
24,0.5672999999999999,2025-09-29 17:05:01,dreamerv3,final,train,3,949.7,0.459,0.689,0.387,0.671
25,0.5956600000000001,2025-09-29 17:05:02,dreamerv3,final,train,3,932.34,0.465,0.696,0.387,0.676
26,0.6285499999999999,2025-09-29 17:05:03,dreamerv3,final,train,3,927.45,0.481,0.711,0.387,0.688
27,0.57396,2025-09-29 17:05:04,dreamerv3,final,train,3,954.04,0.465,0.693,0.388,0.675
28,0.62944,2025-09-29 17:05:05,dreamerv3,final,train,3,929.56,0.482,0.709,0.389,0.688
29,0.6254099999999999,2025-09-29 17:05:06,dreamerv3,final,train,3,934.59,0.482,0.71,0.389,0.689
30,0.6077600000000001,2025-09-29 17:05:07,dreamerv3,final,train,3,936.24,0.473,0.701,0.389,0.682
31,0.60799,2025-09-29 17:05:08,dreamerv3,final,train,3,931.01,0.47,0.698,0.389,0.68
32,0.6416999999999999,2025-09-29 17:05:08,dreamerv3,final,train,3,923.3,0.485,0.712,0.389,0.691
33,0.6391,2025-09-29 17:05:09,dreamerv3,final,train,3,925.9,0.485,0.712,0.389,0.691
34,0.6349299999999999,2025-09-29 17:05:10,dreamerv3,final,train,3,925.07,0.482,0.71,0.389,0.689
35,0.56576,2025-09-29 17:05:11,dreamerv3,final,train,3,947.24,0.457,0.687,0.387,0.669
36,0.60966,2025-09-29 17:05:12,dreamerv3,final,train,3,930.34,0.472,0.702,0.387,0.681
37,0.61303,2025-09-29 17:05:13,dreamerv3,final,train,3,919.97,0.468,0.698,0.387,0.678
38,0.6207000000000001,2025-09-29 17:05:14,dreamerv3,final,train,3,931.3,0.478,0.706,0.388,0.686
39,0.61441,2025-09-29 17:05:15,dreamerv3,final,train,3,930.59,0.474,0.702,0.389,0.682
40,0.50572,2025-09-29 17:05:16,dreamerv3,final,train,3,963.28,0.431,0.661,0.388,0.65
41,0.60627,2025-09-29 17:05:17,dreamerv3,final,train,3,938.73,0.474,0.703,0.388,0.683
42,0.62303,2025-09-29 17:05:18,dreamerv3,final,train,3,922.97,0.475,0.703,0.388,0.683
43,0.6517599999999999,2025-09-29 17:05:19,dreamerv3,final,train,3,922.24,0.49,0.717,0.389,0.695
44,0.6454199999999999,2025-09-29 17:05:20,dreamerv3,final,train,3,921.58,0.486,0.713,0.389,0.692
45,0.6410499999999999,2025-09-29 17:05:21,dreamerv3,final,train,3,927.95,0.488,0.715,0.388,0.693
46,0.5680800000000001,2025-09-29 17:05:22,dreamerv3,final,train,3,950.92,0.46,0.691,0.387,0.672
47,0.63389,2025-09-29 17:05:22,dreamerv3,final,train,3,922.11,0.481,0.712,0.387,0.688
48,0.64207,2025-09-29 17:05:23,dreamerv3,final,train,3,929.93,0.49,0.72,0.387,0.695
49,0.6027600000000002,2025-09-29 17:05:24,dreamerv3,final,train,3,931.24,0.468,0.697,0.388,0.678
50,0.6010700000000001,2025-09-29 17:05:25,dreamerv3,final,train,3,941.93,0.473,0.702,0.388,0.682
51,0.62261,2025-09-29 17:05:26,dreamerv3,final,train,3,937.39,0.483,0.712,0.387,0.69
52,0.65157,2025-09-29 17:05:27,dreamerv3,final,train,3,930.43,0.496,0.724,0.387,0.699
53,0.66071,2025-09-29 17:05:28,dreamerv3,final,train,3,921.29,0.496,0.724,0.387,0.699
54,0.61967,2025-09-29 17:05:29,dreamerv3,final,train,3,925.33,0.475,0.705,0.387,0.683
55,0.61786,2025-09-29 17:05:30,dreamerv3,final,train,3,940.14,0.482,0.712,0.387,0.689
56,0.63995,2025-09-29 17:05:31,dreamerv3,final,train,3,926.05,0.487,0.716,0.387,0.692
57,0.4571900000000001,2025-09-29 17:05:32,dreamerv3,final,train,3,1049.81,0.454,0.686,0.386,0.667
58,0.63647,2025-09-29 17:05:33,dreamerv3,final,train,3,927.53,0.486,0.717,0.386,0.692
59,0.5580100000000001,2025-09-29 17:05:34,dreamerv3,final,train,3,947.99,0.453,0.683,0.387,0.666
60,0.62762,2025-09-29 17:05:35,dreamerv3,final,train,3,929.38,0.482,0.711,0.387,0.688
61,0.64019,2025-09-29 17:05:36,dreamerv3,final,train,3,926.81,0.487,0.716,0.387,0.693
62,0.63783,2025-09-29 17:05:37,dreamerv3,final,train,3,928.17,0.486,0.714,0.388,0.692
63,0.6060300000000001,2025-09-29 17:05:37,dreamerv3,final,train,3,925.97,0.467,0.696,0.388,0.677
64,0.64686,2025-09-29 17:05:38,dreamerv3,final,train,3,923.14,0.488,0.717,0.388,0.694
65,0.6336299999999999,2025-09-29 17:05:39,dreamerv3,final,train,3,926.37,0.483,0.712,0.388,0.689
66,0.52057,2025-09-29 17:05:40,dreamerv3,final,train,3,1029.43,0.477,0.706,0.388,0.685
67,0.53196,2025-09-29 17:05:41,dreamerv3,final,train,3,957.04,0.443,0.675,0.387,0.659
68,0.61033,2025-09-29 17:05:42,dreamerv3,final,train,3,929.67,0.472,0.703,0.387,0.681
