episode,reward,timestamp,agent,phase,mode,seed,latency_ms,energy_efficiency,task_scheduling_score,scalability_score,resource_allocation_score
1,0.4348099999999999,2025-09-28 03:24:37,tdmpc2,final,train,4,955.19,0.375,0.531,0.546,0.469
2,0.4878,2025-09-28 03:24:38,tdmpc2,final,train,4,948.2,0.403,0.552,0.548,0.485
3,0.5646500000000001,2025-09-28 03:24:39,tdmpc2,final,train,4,931.35,0.44,0.58,0.549,0.507
4,0.58656,2025-09-28 03:24:40,tdmpc2,final,train,4,926.44,0.451,0.588,0.549,0.513
5,0.5864500000000001,2025-09-28 03:24:40,tdmpc2,final,train,4,920.55,0.447,0.585,0.549,0.511
6,0.5752000000000002,2025-09-28 03:24:41,tdmpc2,final,train,4,926.8,0.444,0.583,0.549,0.509
7,0.5719000000000001,2025-09-28 03:24:42,tdmpc2,final,train,4,924.1,0.44,0.58,0.549,0.507
8,0.5797100000000002,2025-09-28 03:24:43,tdmpc2,final,train,4,935.29,0.452,0.589,0.549,0.514
9,0.56168,2025-09-28 03:24:44,tdmpc2,final,train,4,939.32,0.443,0.583,0.549,0.509
10,0.4992500000000001,2025-09-28 03:24:45,tdmpc2,final,train,4,955.75,0.416,0.562,0.547,0.492
11,0.56705,2025-09-28 03:24:46,tdmpc2,final,train,4,938.95,0.448,0.587,0.547,0.511
12,0.5241200000000001,2025-09-28 03:24:47,tdmpc2,final,train,4,945.88,0.424,0.567,0.549,0.497
13,0.5603400000000001,2025-09-28 03:24:48,tdmpc2,final,train,4,933.66,0.438,0.578,0.55,0.506
14,0.5759800000000002,2025-09-28 03:24:49,tdmpc2,final,train,4,928.02,0.445,0.583,0.55,0.509
15,0.5869,2025-09-28 03:24:50,tdmpc2,final,train,4,929.1,0.453,0.59,0.549,0.514
16,0.5445399999999999,2025-09-28 03:24:51,tdmpc2,final,train,4,943.46,0.435,0.576,0.549,0.504
17,0.5925800000000001,2025-09-28 03:24:52,tdmpc2,final,train,4,927.42,0.455,0.592,0.549,0.516
18,0.57287,2025-09-28 03:24:53,tdmpc2,final,train,4,925.13,0.441,0.581,0.549,0.508
19,0.5773600000000001,2025-09-28 03:24:54,tdmpc2,final,train,4,932.64,0.449,0.587,0.549,0.512
20,0.33781,2025-09-28 03:24:55,tdmpc2,final,train,4,1021.19,0.355,0.514,0.548,0.456
21,0.4989,2025-09-28 03:24:56,tdmpc2,final,train,4,974.1,0.426,0.57,0.548,0.499
22,0.5218200000000002,2025-09-28 03:24:56,tdmpc2,final,train,4,962.18,0.434,0.577,0.547,0.503
23,0.4862700000000001,2025-09-28 03:24:57,tdmpc2,final,train,4,952.73,0.405,0.553,0.548,0.486
24,0.55347,2025-09-28 03:24:58,tdmpc2,final,train,4,946.53,0.443,0.582,0.549,0.508
25,0.5647300000000002,2025-09-28 03:24:59,tdmpc2,final,train,4,937.27,0.444,0.584,0.549,0.509
