episode,reward,timestamp,agent,phase,mode,seed,latency_ms,energy_efficiency,task_scheduling_score,scalability_score,resource_allocation_score
1,0.13448,2025-09-24 03:54:54,hydra,mid,train,1,1023.52,0.299,0.583,0.555,0.304
2,0.3438300000000001,2025-09-24 03:54:55,hydra,mid,train,1,946.17,0.392,0.671,0.554,0.344
3,0.39874,2025-09-24 03:54:56,hydra,mid,train,1,928.26,0.417,0.694,0.555,0.355
4,0.38908,2025-09-24 03:54:57,hydra,mid,train,1,935.92,0.415,0.691,0.556,0.354
5,0.40813,2025-09-24 03:54:58,hydra,mid,train,1,931.87,0.426,0.701,0.556,0.358
6,0.36615,2025-09-24 03:54:59,hydra,mid,train,1,930.85,0.395,0.672,0.557,0.345
7,0.4109800000000001,2025-09-24 03:55:00,hydra,mid,train,1,936.02,0.43,0.705,0.557,0.36
8,0.40774999999999995,2025-09-24 03:55:01,hydra,mid,train,1,943.25,0.433,0.707,0.557,0.361
9,0.4026200000000001,2025-09-24 03:55:02,hydra,mid,train,1,934.38,0.423,0.698,0.557,0.357
10,0.40177000000000007,2025-09-24 03:55:03,hydra,mid,train,1,923.23,0.415,0.69,0.557,0.353
11,0.38085000000000013,2025-09-24 03:55:04,hydra,mid,train,1,948.15,0.418,0.694,0.556,0.355
12,0.32668,2025-09-24 03:55:05,hydra,mid,train,1,954.32,0.385,0.664,0.555,0.341
13,0.40676,2025-09-24 03:55:06,hydra,mid,train,1,924.24,0.42,0.696,0.555,0.356
14,0.36902999999999997,2025-09-24 03:55:07,hydra,mid,train,1,944.97,0.407,0.683,0.557,0.35
15,0.3926100000000001,2025-09-24 03:55:08,hydra,mid,train,1,943.39,0.423,0.699,0.556,0.357
16,0.35564000000000007,2025-09-24 03:55:09,hydra,mid,train,1,943.36,0.397,0.674,0.556,0.346
17,0.3528500000000001,2025-09-24 03:55:09,hydra,mid,train,1,963.15,0.409,0.685,0.556,0.351
18,0.3675599999999999,2025-09-24 03:55:10,hydra,mid,train,1,956.44,0.415,0.69,0.556,0.353
19,0.3871500000000001,2025-09-24 03:55:11,hydra,mid,train,1,961.85,0.432,0.707,0.556,0.361
20,0.39486,2025-09-24 03:55:12,hydra,mid,train,1,927.14,0.413,0.69,0.556,0.353
21,0.38029,2025-09-24 03:55:13,hydra,mid,train,1,928.71,0.404,0.681,0.556,0.349
22,0.30387000000000003,2025-09-24 03:55:14,hydra,mid,train,1,966.13,0.378,0.657,0.554,0.338
23,0.31301999999999985,2025-09-24 03:55:15,hydra,mid,train,1,1007.98,0.414,0.692,0.554,0.353
24,0.38527999999999996,2025-09-24 03:55:16,hydra,mid,train,1,930.72,0.41,0.688,0.554,0.352
25,0.3734600000000001,2025-09-24 03:55:17,hydra,mid,train,1,949.54,0.414,0.69,0.556,0.353
26,0.39083999999999997,2025-09-24 03:55:18,hydra,mid,train,1,934.16,0.415,0.692,0.556,0.354
27,0.4159400000000001,2025-09-24 03:55:19,hydra,mid,train,1,929.06,0.429,0.704,0.556,0.36
28,0.41743,2025-09-24 03:55:20,hydra,mid,train,1,927.57,0.429,0.705,0.556,0.36
29,0.41251000000000004,2025-09-24 03:55:21,hydra,mid,train,1,927.49,0.426,0.702,0.556,0.358
30,0.3798800000000001,2025-09-24 03:55:22,hydra,mid,train,1,958.12,0.424,0.7,0.556,0.358
31,0.41867000000000004,2025-09-24 03:55:23,hydra,mid,train,1,927.33,0.43,0.705,0.556,0.36
32,0.40750999999999993,2025-09-24 03:55:24,hydra,mid,train,1,924.49,0.42,0.696,0.556,0.356
33,0.31916000000000005,2025-09-24 03:55:25,hydra,mid,train,1,960.84,0.385,0.665,0.554,0.341
34,0.38774,2025-09-24 03:55:26,hydra,mid,train,1,933.26,0.414,0.692,0.554,0.353
35,0.36009000000000013,2025-09-24 03:55:26,hydra,mid,train,1,945.91,0.402,0.679,0.556,0.348
36,0.38117999999999996,2025-09-24 03:55:27,hydra,mid,train,1,937.82,0.411,0.687,0.556,0.352
