episode,reward,timestamp,agent,phase,mode,seed,latency_ms,energy_efficiency,task_scheduling_score,scalability_score,resource_allocation_score
1,0.4768999999999999,2025-09-24 09:10:19,hydra,mid,train,3,941.1,0.422,0.703,0.353,0.643
2,0.2545299999999998,2025-09-24 09:10:20,hydra,mid,train,3,1029.47,0.347,0.632,0.352,0.585
3,0.4740899999999999,2025-09-24 09:10:21,hydra,mid,train,3,932.91,0.417,0.7,0.351,0.639
4,0.42596,2025-09-24 09:10:22,hydra,mid,train,3,952.04,0.4,0.683,0.352,0.626
5,0.49510999999999994,2025-09-24 09:10:23,hydra,mid,train,3,932.89,0.428,0.709,0.352,0.648
6,0.5088900000000001,2025-09-24 09:10:24,hydra,mid,train,3,935.11,0.437,0.716,0.353,0.654
7,0.4825299999999999,2025-09-24 09:10:24,hydra,mid,train,3,926.47,0.417,0.698,0.353,0.639
8,0.3869500000000001,2025-09-24 09:10:25,hydra,mid,train,3,1036.05,0.425,0.706,0.353,0.645
9,0.50864,2025-09-24 09:10:26,hydra,mid,train,3,934.36,0.436,0.716,0.353,0.654
10,0.42042999999999997,2025-09-24 09:10:27,hydra,mid,train,3,952.57,0.397,0.678,0.353,0.623
11,0.48465999999999987,2025-09-24 09:10:28,hydra,mid,train,3,943.34,0.428,0.708,0.353,0.647
12,0.38924000000000003,2025-09-24 09:10:29,hydra,mid,train,3,956.76,0.382,0.665,0.352,0.612
13,0.48092999999999986,2025-09-24 09:10:30,hydra,mid,train,3,929.07,0.418,0.7,0.352,0.64
14,0.4947999999999999,2025-09-24 09:10:31,hydra,mid,train,3,934.2,0.429,0.71,0.352,0.648
15,0.45408000000000004,2025-09-24 09:10:32,hydra,mid,train,3,932.92,0.405,0.686,0.353,0.629
16,0.5189600000000001,2025-09-24 09:10:33,hydra,mid,train,3,931.04,0.44,0.72,0.353,0.657
17,0.4817,2025-09-24 09:10:34,hydra,mid,train,3,937.3,0.423,0.703,0.353,0.643
18,0.5169699999999999,2025-09-24 09:10:35,hydra,mid,train,3,929.03,0.438,0.717,0.353,0.655
19,0.51732,2025-09-24 09:10:36,hydra,mid,train,3,930.68,0.439,0.718,0.353,0.656
20,0.47453999999999985,2025-09-24 09:10:37,hydra,mid,train,3,946.46,0.424,0.704,0.353,0.644
21,0.48168999999999995,2025-09-24 09:10:38,hydra,mid,train,3,937.31,0.423,0.703,0.353,0.643
22,0.44638999999999995,2025-09-24 09:10:39,hydra,mid,train,3,930.61,0.399,0.68,0.353,0.625
23,0.38225,2025-09-24 09:10:40,hydra,mid,train,3,956.75,0.378,0.662,0.352,0.609
24,0.48053,2025-09-24 09:10:41,hydra,mid,train,3,937.47,0.423,0.705,0.352,0.643
25,0.46904,2025-09-24 09:10:41,hydra,mid,train,3,938.96,0.417,0.699,0.352,0.639
26,0.4511200000000001,2025-09-24 09:10:42,hydra,mid,train,3,950.88,0.413,0.694,0.353,0.636
27,0.42808,2025-09-24 09:10:43,hydra,mid,train,3,952.92,0.401,0.682,0.353,0.627
28,0.49116000000000004,2025-09-24 09:10:44,hydra,mid,train,3,936.84,0.428,0.708,0.353,0.647
29,0.27605999999999997,2025-09-24 09:10:45,hydra,mid,train,3,1151.94,0.428,0.708,0.353,0.647
30,0.48849999999999993,2025-09-24 09:10:46,hydra,mid,train,3,943.5,0.43,0.71,0.353,0.649
31,0.4754999999999999,2025-09-24 09:10:47,hydra,mid,train,3,950.5,0.427,0.707,0.353,0.646
32,0.51126,2025-09-24 09:10:48,hydra,mid,train,3,931.74,0.436,0.716,0.353,0.654
33,0.42152999999999996,2025-09-24 09:10:49,hydra,mid,train,3,950.47,0.397,0.68,0.352,0.623
34,0.51644,2025-09-24 09:10:50,hydra,mid,train,3,917.56,0.432,0.714,0.352,0.65
35,0.48705999999999994,2025-09-24 09:10:51,hydra,mid,train,3,930.94,0.423,0.704,0.352,0.643
36,0.46441999999999994,2025-09-24 09:10:52,hydra,mid,train,3,938.58,0.414,0.696,0.352,0.637
37,0.48009,2025-09-24 09:10:53,hydra,mid,train,3,930.91,0.418,0.699,0.353,0.64
38,0.3545499999999999,2025-09-24 09:10:54,hydra,mid,train,3,971.45,0.37,0.652,0.353,0.603
39,0.45053999999999994,2025-09-24 09:10:55,hydra,mid,train,3,931.46,0.402,0.683,0.353,0.627
40,0.48046,2025-09-24 09:10:56,hydra,mid,train,3,926.54,0.416,0.696,0.353,0.638
41,0.51007,2025-09-24 09:10:57,hydra,mid,train,3,930.93,0.435,0.715,0.353,0.653
42,0.49154,2025-09-24 09:10:58,hydra,mid,train,3,938.46,0.429,0.709,0.353,0.648
43,0.47892999999999997,2025-09-24 09:10:59,hydra,mid,train,3,924.07,0.414,0.694,0.353,0.636
44,0.28957999999999995,2025-09-24 09:11:00,hydra,mid,train,3,1003.42,0.352,0.637,0.352,0.589
45,0.4381799999999999,2025-09-24 09:11:01,hydra,mid,train,3,944.82,0.403,0.686,0.352,0.628
46,0.48727999999999994,2025-09-24 09:11:01,hydra,mid,train,3,945.72,0.431,0.712,0.352,0.65
47,0.45274000000000003,2025-09-24 09:11:02,hydra,mid,train,3,945.26,0.411,0.692,0.353,0.634
48,0.47541,2025-09-24 09:11:03,hydra,mid,train,3,950.59,0.427,0.707,0.353,0.646
49,0.49529999999999996,2025-09-24 09:11:04,hydra,mid,train,3,934.7,0.429,0.71,0.353,0.648
50,0.50796,2025-09-24 09:11:05,hydra,mid,train,3,929.04,0.433,0.712,0.353,0.651
51,0.4994600000000001,2025-09-24 09:11:06,hydra,mid,train,3,930.54,0.429,0.709,0.353,0.648
52,0.5084900000000001,2025-09-24 09:11:07,hydra,mid,train,3,919.51,0.428,0.708,0.353,0.647
53,0.5000499999999999,2025-09-24 09:11:08,hydra,mid,train,3,922.95,0.425,0.705,0.353,0.645
54,0.48158,2025-09-24 09:11:09,hydra,mid,train,3,931.42,0.42,0.702,0.352,0.641
55,0.37171999999999994,2025-09-24 09:11:10,hydra,mid,train,3,962.28,0.375,0.659,0.352,0.607
56,0.35682999999999976,2025-09-24 09:11:11,hydra,mid,train,3,1049.17,0.416,0.699,0.352,0.638
57,0.4517699999999999,2025-09-24 09:11:12,hydra,mid,train,3,952.23,0.415,0.697,0.352,0.637
58,0.5151600000000001,2025-09-24 09:11:13,hydra,mid,train,3,925.84,0.435,0.715,0.353,0.653
59,0.4755299999999999,2025-09-24 09:11:14,hydra,mid,train,3,942.47,0.423,0.704,0.352,0.643
60,0.47514999999999996,2025-09-24 09:11:15,hydra,mid,train,3,930.85,0.416,0.698,0.352,0.638
61,0.48885,2025-09-24 09:11:16,hydra,mid,train,3,939.15,0.428,0.71,0.352,0.648
62,0.5089600000000001,2025-09-24 09:11:17,hydra,mid,train,3,925.04,0.432,0.712,0.352,0.65
63,0.36614,2025-09-24 09:11:18,hydra,mid,train,3,1041.86,0.417,0.699,0.352,0.639
64,0.49712999999999996,2025-09-24 09:11:19,hydra,mid,train,3,933.87,0.43,0.71,0.352,0.649
65,0.3999299999999999,2025-09-24 09:11:19,hydra,mid,train,3,957.07,0.389,0.673,0.351,0.617
66,0.4896799999999999,2025-09-24 09:11:20,hydra,mid,train,3,950.32,0.436,0.718,0.351,0.653
67,0.4760399999999999,2025-09-24 09:11:21,hydra,mid,train,3,932.96,0.418,0.702,0.351,0.64
68,0.35795,2025-09-24 09:11:22,hydra,mid,train,3,954.05,0.362,0.645,0.353,0.597
69,0.49645000000000006,2025-09-24 09:11:23,hydra,mid,train,3,944.55,0.435,0.715,0.353,0.653
70,0.49358,2025-09-24 09:11:24,hydra,mid,train,3,928.42,0.425,0.706,0.352,0.645
71,0.49480999999999986,2025-09-24 09:11:25,hydra,mid,train,3,940.19,0.432,0.712,0.353,0.65
72,0.49192999999999987,2025-09-24 09:11:26,hydra,mid,train,3,937.07,0.428,0.709,0.353,0.648
73,0.48787,2025-09-24 09:11:27,hydra,mid,train,3,931.13,0.423,0.703,0.353,0.643
74,0.49615,2025-09-24 09:11:28,hydra,mid,train,3,929.85,0.427,0.708,0.352,0.647
75,0.50018,2025-09-24 09:11:29,hydra,mid,train,3,930.82,0.43,0.711,0.352,0.649
76,0.38552,2025-09-24 09:11:30,hydra,mid,train,3,971.48,0.388,0.672,0.352,0.617
77,0.49255000000000004,2025-09-24 09:11:31,hydra,mid,train,3,927.45,0.424,0.706,0.352,0.644
78,0.4505299999999999,2025-09-24 09:11:32,hydra,mid,train,3,944.47,0.409,0.69,0.353,0.633
79,0.5085299999999999,2025-09-24 09:11:33,hydra,mid,train,3,928.47,0.433,0.712,0.353,0.651
80,0.46537000000000006,2025-09-24 09:11:34,hydra,mid,train,3,925.63,0.407,0.688,0.353,0.631
81,0.44552,2025-09-24 09:11:35,hydra,mid,train,3,938.48,0.403,0.684,0.353,0.628
82,0.51393,2025-09-24 09:11:35,hydra,mid,train,3,932.07,0.438,0.717,0.353,0.655
83,0.5124900000000001,2025-09-24 09:11:36,hydra,mid,train,3,922.51,0.432,0.712,0.353,0.65
84,0.4949800000000001,2025-09-24 09:11:37,hydra,mid,train,3,930.02,0.426,0.706,0.353,0.646
85,0.39810999999999996,2025-09-24 09:11:38,hydra,mid,train,3,969.89,0.394,0.675,0.353,0.621
86,0.41195000000000004,2025-09-24 09:11:39,hydra,mid,train,3,959.05,0.396,0.679,0.352,0.623
87,0.4552299999999999,2025-09-24 09:11:40,hydra,mid,train,3,943.77,0.412,0.694,0.352,0.635
88,0.4587399999999999,2025-09-24 09:11:41,hydra,mid,train,3,961.26,0.424,0.705,0.352,0.644
89,0.4597199999999999,2025-09-24 09:11:42,hydra,mid,train,3,959.28,0.423,0.703,0.353,0.643
90,0.50048,2025-09-24 09:11:43,hydra,mid,train,3,940.52,0.435,0.715,0.353,0.653
91,0.48758,2025-09-24 09:11:44,hydra,mid,train,3,938.42,0.427,0.707,0.353,0.646
92,0.51335,2025-09-24 09:11:45,hydra,mid,train,3,927.65,0.435,0.715,0.353,0.653
93,0.5156100000000001,2025-09-24 09:11:46,hydra,mid,train,3,934.39,0.44,0.72,0.353,0.657
94,0.49811,2025-09-24 09:11:47,hydra,mid,train,3,920.89,0.423,0.704,0.353,0.643
95,0.5003899999999999,2025-09-24 09:11:48,hydra,mid,train,3,931.61,0.43,0.711,0.353,0.649
96,0.5219099999999999,2025-09-24 09:11:49,hydra,mid,train,3,934.09,0.444,0.724,0.352,0.66
97,0.40764999999999996,2025-09-24 09:11:50,hydra,mid,train,3,966.35,0.398,0.68,0.352,0.624
98,0.44863,2025-09-24 09:11:51,hydra,mid,train,3,932.37,0.402,0.685,0.352,0.627
99,0.4633099999999999,2025-09-24 09:11:51,hydra,mid,train,3,932.69,0.41,0.693,0.352,0.634
100,0.43799,2025-09-24 09:11:52,hydra,mid,train,3,937.01,0.398,0.679,0.353,0.624
101,0.41468000000000005,2025-09-24 09:11:53,hydra,mid,train,3,1043.32,0.445,0.724,0.353,0.66
102,0.44896,2025-09-24 09:11:54,hydra,mid,train,3,935.04,0.403,0.685,0.353,0.628
103,0.14178999999999997,2025-09-24 09:11:56,hydra,mid,train,3,1182.21,0.368,0.65,0.354,0.602
104,0.51816,2025-09-24 09:11:56,hydra,mid,train,3,936.84,0.443,0.722,0.353,0.659
105,0.4994799999999999,2025-09-24 09:11:57,hydra,mid,train,3,927.52,0.427,0.707,0.353,0.647
106,0.45255999999999985,2025-09-24 09:11:58,hydra,mid,train,3,942.44,0.409,0.69,0.353,0.633
107,0.43232000000000004,2025-09-24 09:11:59,hydra,mid,train,3,954.68,0.405,0.687,0.352,0.63
108,0.4879800000000001,2025-09-24 09:12:00,hydra,mid,train,3,927.02,0.421,0.703,0.352,0.642
109,0.4919199999999999,2025-09-24 09:12:01,hydra,mid,train,3,932.08,0.426,0.708,0.352,0.646
110,0.35236,2025-09-24 09:12:02,hydra,mid,train,3,978.64,0.373,0.655,0.353,0.605
111,0.49749,2025-09-24 09:12:03,hydra,mid,train,3,948.51,0.438,0.717,0.353,0.655
112,0.5065900000000001,2025-09-24 09:12:04,hydra,mid,train,3,928.41,0.432,0.712,0.353,0.65
113,0.5061,2025-09-24 09:12:05,hydra,mid,train,3,934.9,0.435,0.715,0.353,0.653
114,0.47861999999999993,2025-09-24 09:12:06,hydra,mid,train,3,933.38,0.419,0.699,0.353,0.64
115,0.49944999999999995,2025-09-24 09:12:07,hydra,mid,train,3,927.55,0.427,0.707,0.353,0.647
116,0.5162200000000001,2025-09-24 09:12:08,hydra,mid,train,3,931.78,0.439,0.718,0.353,0.656
117,0.5094099999999999,2025-09-24 09:12:09,hydra,mid,train,3,927.59,0.433,0.713,0.353,0.651
118,0.3828999999999999,2025-09-24 09:12:10,hydra,mid,train,3,966.1,0.384,0.667,0.352,0.613
119,0.46778,2025-09-24 09:12:11,hydra,mid,train,3,932.22,0.413,0.694,0.352,0.635
120,0.43310000000000004,2025-09-24 09:12:12,hydra,mid,train,3,944.9,0.4,0.684,0.352,0.626
121,0.42377999999999993,2025-09-24 09:12:12,hydra,mid,train,3,941.22,0.393,0.675,0.352,0.62
122,0.5324800000000001,2025-09-24 09:12:13,hydra,mid,train,3,923.52,0.444,0.723,0.353,0.659
123,0.4903200000000001,2025-09-24 09:12:14,hydra,mid,train,3,929.68,0.424,0.705,0.352,0.644
124,0.5162899999999999,2025-09-24 09:12:15,hydra,mid,train,3,926.71,0.437,0.717,0.352,0.654
125,0.49114,2025-09-24 09:12:16,hydra,mid,train,3,921.86,0.42,0.701,0.352,0.641
126,0.5253300000000001,2025-09-24 09:12:17,hydra,mid,train,3,924.67,0.441,0.721,0.352,0.657
127,0.41197000000000006,2025-09-24 09:12:18,hydra,mid,train,3,964.03,0.398,0.68,0.353,0.625
128,0.45101,2025-09-24 09:12:19,hydra,mid,train,3,947.99,0.412,0.695,0.352,0.635
129,0.44038999999999995,2025-09-24 09:12:20,hydra,mid,train,3,944.61,0.404,0.687,0.352,0.629
130,0.49436,2025-09-24 09:12:21,hydra,mid,train,3,937.64,0.431,0.713,0.351,0.65
131,0.4343,2025-09-24 09:12:22,hydra,mid,train,3,953.7,0.406,0.688,0.352,0.63
132,0.49949,2025-09-24 09:12:23,hydra,mid,train,3,929.51,0.429,0.71,0.352,0.648
133,0.51461,2025-09-24 09:12:24,hydra,mid,train,3,930.39,0.438,0.718,0.352,0.655
134,0.47761,2025-09-24 09:12:25,hydra,mid,train,3,944.39,0.425,0.706,0.352,0.645
135,0.50806,2025-09-24 09:12:26,hydra,mid,train,3,928.94,0.433,0.714,0.353,0.651
136,0.4707000000000001,2025-09-24 09:12:27,hydra,mid,train,3,939.3,0.418,0.698,0.353,0.639
137,0.48022999999999993,2025-09-24 09:12:27,hydra,mid,train,3,933.77,0.42,0.7,0.353,0.641
138,0.4767,2025-09-24 09:12:28,hydra,mid,train,3,930.3,0.416,0.697,0.353,0.638
139,0.40074999999999994,2025-09-24 09:12:29,hydra,mid,train,3,951.25,0.385,0.669,0.352,0.615
140,0.50274,2025-09-24 09:12:30,hydra,mid,train,3,930.26,0.431,0.713,0.352,0.65
141,0.50797,2025-09-24 09:12:31,hydra,mid,train,3,928.03,0.433,0.715,0.352,0.651
142,0.45848999999999995,2025-09-24 09:12:32,hydra,mid,train,3,934.51,0.408,0.689,0.353,0.632
143,0.49794000000000005,2025-09-24 09:12:33,hydra,mid,train,3,934.06,0.43,0.709,0.353,0.649
144,0.43814,2025-09-24 09:12:34,hydra,mid,train,3,942.86,0.401,0.682,0.353,0.627
145,0.45392,2025-09-24 09:12:35,hydra,mid,train,3,958.08,0.419,0.699,0.353,0.64
146,0.52749,2025-09-24 09:12:36,hydra,mid,train,3,925.51,0.442,0.721,0.353,0.658
147,0.49894000000000005,2025-09-24 09:12:37,hydra,mid,train,3,931.06,0.429,0.709,0.353,0.648
148,0.47729999999999984,2025-09-24 09:12:38,hydra,mid,train,3,932.7,0.418,0.698,0.353,0.639
149,0.50052,2025-09-24 09:12:39,hydra,mid,train,3,929.48,0.429,0.709,0.353,0.648
150,0.37036,2025-09-24 09:12:40,hydra,mid,train,3,961.64,0.374,0.657,0.352,0.606
151,0.49446,2025-09-24 09:12:41,hydra,mid,train,3,932.54,0.428,0.709,0.352,0.647
152,0.45501999999999987,2025-09-24 09:12:42,hydra,mid,train,3,966.98,0.425,0.706,0.352,0.645
153,0.44787,2025-09-24 09:12:42,hydra,mid,train,3,943.13,0.407,0.688,0.353,0.631
154,0.4832899999999999,2025-09-24 09:12:43,hydra,mid,train,3,933.71,0.422,0.702,0.353,0.642
155,0.50379,2025-09-24 09:12:44,hydra,mid,train,3,931.21,0.432,0.712,0.353,0.65
156,0.47447000000000006,2025-09-24 09:12:45,hydra,mid,train,3,928.53,0.414,0.694,0.353,0.636
157,0.3988299999999999,2025-09-24 09:12:46,hydra,mid,train,3,1045.17,0.437,0.717,0.353,0.654
158,0.5085200000000001,2025-09-24 09:12:47,hydra,mid,train,3,931.48,0.435,0.715,0.353,0.652
159,0.4850599999999998,2025-09-24 09:12:48,hydra,mid,train,3,924.94,0.418,0.698,0.353,0.639
160,0.38547999999999993,2025-09-24 09:12:49,hydra,mid,train,3,955.52,0.379,0.663,0.352,0.61
161,0.42679999999999996,2025-09-24 09:12:50,hydra,mid,train,3,963.2,0.407,0.69,0.352,0.631
162,0.5087300000000001,2025-09-24 09:12:51,hydra,mid,train,3,927.27,0.433,0.715,0.352,0.651
163,0.46016999999999986,2025-09-24 09:12:52,hydra,mid,train,3,945.83,0.415,0.696,0.353,0.638
164,0.5002699999999999,2025-09-24 09:12:53,hydra,mid,train,3,928.73,0.428,0.708,0.353,0.648
165,0.5034000000000001,2025-09-24 09:12:54,hydra,mid,train,3,928.6,0.43,0.71,0.353,0.649
166,0.4985399999999999,2025-09-24 09:12:55,hydra,mid,train,3,924.46,0.425,0.705,0.353,0.645
167,0.4247000000000001,2025-09-24 09:12:56,hydra,mid,train,3,951.3,0.398,0.68,0.353,0.625
168,0.3068599999999998,2025-09-24 09:12:57,hydra,mid,train,3,1063.14,0.395,0.677,0.353,0.622
169,0.4799800000000001,2025-09-24 09:12:58,hydra,mid,train,3,943.02,0.425,0.705,0.353,0.645
170,0.40119000000000005,2025-09-24 09:12:59,hydra,mid,train,3,974.81,0.398,0.678,0.354,0.624
171,0.36397,2025-09-24 09:13:00,hydra,mid,train,3,969.03,0.375,0.658,0.352,0.606
172,0.46750999999999987,2025-09-24 09:13:01,hydra,mid,train,3,942.49,0.418,0.7,0.352,0.64
173,0.5068600000000001,2025-09-24 09:13:02,hydra,mid,train,3,931.14,0.434,0.714,0.352,0.652
174,0.44858,2025-09-24 09:13:02,hydra,mid,train,3,952.42,0.413,0.693,0.353,0.635
175,0.49278,2025-09-24 09:13:03,hydra,mid,train,3,935.22,0.428,0.708,0.353,0.647
