episode,reward,timestamp,agent,phase,mode,seed,latency_ms,energy_efficiency,task_scheduling_score,scalability_score,resource_allocation_score
1,0.42867999999999995,2025-09-23 08:58:50,costar,early,train,3,969.32,0.405,0.67,0.364,0.629
2,0.48892,2025-09-23 08:58:51,costar,early,train,3,939.08,0.422,0.688,0.363,0.643
3,0.52756,2025-09-23 08:58:52,costar,early,train,3,930.44,0.439,0.704,0.363,0.656
4,0.51408,2025-09-23 08:58:53,costar,early,train,3,933.92,0.433,0.697,0.364,0.651
5,0.5176000000000001,2025-09-23 08:58:54,costar,early,train,3,947.4,0.443,0.706,0.364,0.658
6,0.5061300000000001,2025-09-23 08:58:55,costar,early,train,3,959.87,0.443,0.706,0.364,0.659
7,0.5206599999999999,2025-09-23 08:58:56,costar,early,train,3,930.34,0.435,0.699,0.364,0.652
8,0.5454700000000001,2025-09-23 08:58:57,costar,early,train,3,926.53,0.446,0.709,0.365,0.661
9,0.55349,2025-09-23 08:58:58,costar,early,train,3,930.51,0.453,0.715,0.365,0.666
10,0.52223,2025-09-23 08:58:59,costar,early,train,3,923.77,0.431,0.695,0.365,0.65
11,0.3502599999999999,2025-09-23 08:59:00,costar,early,train,3,960.74,0.356,0.626,0.363,0.592
12,0.20896000000000003,2025-09-23 08:59:01,costar,early,train,3,1075.04,0.342,0.614,0.361,0.581
13,0.48953,2025-09-23 08:59:02,costar,early,train,3,936.47,0.422,0.69,0.361,0.643
14,0.48766999999999994,2025-09-23 08:59:03,costar,early,train,3,941.33,0.424,0.693,0.361,0.644
15,0.45035000000000003,2025-09-23 08:59:04,costar,early,train,3,942.65,0.403,0.672,0.362,0.628
16,0.5361,2025-09-23 08:59:05,costar,early,train,3,930.9,0.445,0.711,0.362,0.66
17,0.48954999999999993,2025-09-23 08:59:06,costar,early,train,3,949.45,0.429,0.696,0.362,0.648
18,0.48661999999999994,2025-09-23 08:59:06,costar,early,train,3,943.38,0.423,0.69,0.363,0.644
19,0.4250900000000001,2025-09-23 08:59:07,costar,early,train,3,960.91,0.399,0.667,0.362,0.625
20,0.38063,2025-09-23 08:59:08,costar,early,train,3,980.37,0.385,0.654,0.362,0.614
21,0.35878999999999994,2025-09-23 08:59:09,costar,early,train,3,961.21,0.362,0.633,0.361,0.597
22,0.28733999999999993,2025-09-23 08:59:10,costar,early,train,3,974.66,0.33,0.604,0.36,0.572
23,0.38388999999999995,2025-09-23 08:59:11,costar,early,train,3,947.11,0.371,0.65,0.356,0.604
24,0.29345999999999994,2025-09-23 08:59:12,costar,early,train,3,973.54,0.338,0.626,0.35,0.579
25,-0.07566000000000017,2025-09-23 08:59:13,costar,early,train,3,1175.66,0.247,0.548,0.344,0.509
26,0.21948000000000017,2025-09-23 08:59:14,costar,early,train,3,981.52,0.308,0.614,0.338,0.555
27,0.26009000000000004,2025-09-23 08:59:15,costar,early,train,3,983.91,0.329,0.626,0.344,0.571
28,0.14203,2025-09-23 08:59:16,costar,early,train,3,1017.97,0.281,0.58,0.344,0.535
29,0.2736600000000001,2025-09-23 08:59:17,costar,early,train,3,1040.34,0.366,0.655,0.348,0.6
30,0.38386999999999993,2025-09-23 08:59:18,costar,early,train,3,961.13,0.382,0.667,0.351,0.612
31,0.04149000000000014,2025-09-23 08:59:20,costar,early,train,3,1128.51,0.28,0.563,0.356,0.534
32,0.21598000000000006,2025-09-23 08:59:21,costar,early,train,3,1001.02,0.304,0.578,0.361,0.552
33,0.3483099999999999,2025-09-23 08:59:22,costar,early,train,3,967.69,0.36,0.632,0.361,0.595
34,0.37037,2025-09-23 08:59:22,costar,early,train,3,953.63,0.365,0.637,0.36,0.599
35,0.3324999999999999,2025-09-23 08:59:23,costar,early,train,3,964.5,0.349,0.621,0.361,0.587
36,0.40123,2025-09-23 08:59:24,costar,early,train,3,953.77,0.382,0.653,0.361,0.612
37,0.37509000000000003,2025-09-23 08:59:25,costar,early,train,3,952.91,0.367,0.638,0.361,0.6
38,0.3078399999999999,2025-09-23 08:59:26,costar,early,train,3,1049.16,0.383,0.654,0.361,0.613
39,0.36529999999999996,2025-09-23 08:59:27,costar,early,train,3,961.7,0.366,0.637,0.361,0.6
40,0.42573000000000005,2025-09-23 08:59:28,costar,early,train,3,957.27,0.398,0.667,0.361,0.624
41,0.34324,2025-09-23 08:59:29,costar,early,train,3,967.76,0.357,0.63,0.361,0.593
42,0.2706599999999999,2025-09-23 08:59:30,costar,early,train,3,1005.34,0.338,0.612,0.36,0.578
43,0.38552,2025-09-23 08:59:31,costar,early,train,3,958.48,0.377,0.65,0.359,0.608
44,0.3409899999999999,2025-09-23 08:59:32,costar,early,train,3,955.01,0.349,0.623,0.36,0.587
45,0.43255,2025-09-23 08:59:33,costar,early,train,3,957.45,0.402,0.672,0.361,0.627
46,0.50682,2025-09-23 08:59:34,costar,early,train,3,933.18,0.43,0.698,0.361,0.649
47,0.5220499999999999,2025-09-23 08:59:35,costar,early,train,3,933.95,0.439,0.708,0.361,0.656
48,0.56603,2025-09-23 08:59:36,costar,early,train,3,922.97,0.458,0.725,0.361,0.67
49,0.4995599999999999,2025-09-23 08:59:37,costar,early,train,3,929.44,0.424,0.693,0.361,0.644
50,0.51342,2025-09-23 08:59:38,costar,early,train,3,935.58,0.435,0.704,0.361,0.653
51,0.5366599999999999,2025-09-23 08:59:39,costar,early,train,3,929.34,0.445,0.713,0.361,0.66
52,0.5318700000000001,2025-09-23 08:59:40,costar,early,train,3,936.13,0.446,0.714,0.361,0.661
53,0.46214,2025-09-23 08:59:41,costar,early,train,3,961.86,0.422,0.692,0.36,0.642
54,0.5235000000000001,2025-09-23 08:59:42,costar,early,train,3,929.5,0.438,0.708,0.36,0.655
55,0.5130800000000001,2025-09-23 08:59:43,costar,early,train,3,944.92,0.441,0.711,0.36,0.657
56,0.49251,2025-09-23 08:59:43,costar,early,train,3,947.49,0.43,0.7,0.361,0.649
57,0.49088,2025-09-23 08:59:44,costar,early,train,3,931.12,0.42,0.69,0.36,0.642
58,0.53712,2025-09-23 08:59:45,costar,early,train,3,941.88,0.452,0.72,0.361,0.666
59,0.5298200000000002,2025-09-23 08:59:46,costar,early,train,3,929.18,0.441,0.71,0.361,0.657
60,0.55724,2025-09-23 08:59:47,costar,early,train,3,920.76,0.452,0.72,0.361,0.665
61,0.52823,2025-09-23 08:59:48,costar,early,train,3,929.77,0.44,0.709,0.361,0.657
62,0.5147000000000002,2025-09-23 08:59:49,costar,early,train,3,930.3,0.433,0.702,0.361,0.651
63,0.49978,2025-09-23 08:59:50,costar,early,train,3,943.22,0.432,0.7,0.361,0.65
64,0.3983300000000001,2025-09-23 08:59:51,costar,early,train,3,964.67,0.387,0.659,0.36,0.616
65,0.5635399999999999,2025-09-23 08:59:52,costar,early,train,3,925.46,0.458,0.727,0.36,0.671
66,0.44921,2025-09-23 08:59:53,costar,early,train,3,955.79,0.41,0.68,0.361,0.634
67,0.5275399999999999,2025-09-23 08:59:54,costar,early,train,3,938.46,0.445,0.712,0.361,0.66
68,0.51864,2025-09-23 08:59:55,costar,early,train,3,940.36,0.441,0.709,0.361,0.657
69,0.5270299999999999,2025-09-23 08:59:56,costar,early,train,3,929.97,0.44,0.708,0.361,0.656
70,0.5098999999999999,2025-09-23 08:59:57,costar,early,train,3,933.1,0.432,0.7,0.361,0.65
71,0.50628,2025-09-23 08:59:58,costar,early,train,3,931.72,0.429,0.698,0.361,0.648
72,0.42628999999999995,2025-09-23 08:59:59,costar,early,train,3,1039.71,0.445,0.712,0.361,0.66
73,0.4523300000000001,2025-09-23 09:00:00,costar,early,train,3,950.67,0.409,0.679,0.361,0.633
74,0.39958000000000005,2025-09-23 09:00:00,costar,early,train,3,967.42,0.39,0.663,0.359,0.618
75,0.5179199999999999,2025-09-23 09:00:01,costar,early,train,3,930.08,0.435,0.706,0.36,0.653
